MARID,LATITUDE,LONGITUDE,MAR_SCORE,TOTAL_BICYCLES,TOTAL_PEDESTRIANS
901272,38.90511,-77.066041,100,0,0
242324,38.906503,-77.035509,200,0,0
243130,38.907438,-77.040817,200,0,0
273896,38.902677,-77.05662,200,0,0
299898,38.91183,-76.933562,200,0,0
289241,38.916606,-76.977828,88,0,0
810213,38.857246,-76.965137,100,0,0
297814,38.900769,-76.979714,100,0,0
218144,38.924302,-77.022737,200,0,0
298983,38.849783,-76.97853,100,0,0
294809,38.893803,-77.028656,200,0,0
300908,38.910383,-77.044133,200,0,0
235329,38.92309,-77.043837,200,0,0
301908,38.96094,-77.085075,200,0,0
70841,38.909145,-76.984657,200,0,0
276853,38.878885,-77.016727,200,0,0
804371,38.910018,-77.031953,100,0,0
304165,38.892054,-77.033781,200,0,0
313510,38.902572,-77.02189,200,0,0
245913,38.955179,-77.010301,200,0,0
236660,38.923516,-77.05104,200,0,0
293191,38.887575,-77.026467,200,0,0
228776,38.933003,-77.02359,200,0,0
13107,38.953104,-77.008474,100,0,0
297977,38.926286,-77.032399,200,0,0
276963,38.905632,-77.06302,200,0,0
243173,38.896129,-77.015186,200,0,0
79999,38.900208,-77.006569,200,1,1
239249,38.915482,-77.026708,200,0,0
51403,38.864208,-76.985886,200,0,0
903688,38.957896,-77.00828,100,0,0
309460,38.894783,-77.01415,200,0,0
234925,38.91397,-77.047573,200,0,0
279397,38.897363,-77.041629,200,0,0
302118,38.896318,-77.028264,200,0,0
294564,38.90507,-77.067589,200,0,0
287105,38.89765,-76.969502,200,0,0
287987,38.895127,-76.952611,200,0,0
32869,38.859627,-76.955801,100,0,0
242016,38.90768,-77.037799,200,0,0
23662,38.832109,-76.987326,200,0,0
149109,38.900203,-76.984316,200,0,0
28909,38.831715,-77.005567,200,0,0
27236,38.896547,-76.9478,200,0,1
309937,38.880823,-77.004884,200,0,0
38024,38.880457,-76.959766,200,0,0
298106,38.955755,-77.01986,200,1,0
242034,38.903498,-77.036539,200,0,0
35557,38.883453,-76.957713,200,0,0
310702,38.891511,-77.031976,200,0,0
287607,38.935202,-76.963447,200,0,0
295821,38.889334,-76.948267,200,0,0
313460,38.889797,-77.0386,200,0,0
237154,38.897356,-77.009992,200,0,0
223637,38.940405,-77.027844,200,0,0
218759,38.90208,-77.021915,200,0,0
301040,38.927062,-77.036677,200,0,0
278302,38.887294,-77.002043,200,0,0
299987,38.899884,-77.022948,200,0,0
258003,38.969263,-77.036372,200,0,0
279444,38.902648,-77.042982,200,0,0
238365,38.898805,-77.012614,200,0,0
58022,38.869925,-76.986483,200,0,0
309461,38.882536,-77.017728,200,0,0
148657,38.892671,-76.911785,200,0,0
74267,38.840049,-77.00825,200,0,0
145515,38.835698,-77.007576,200,0,0
310386,38.905912,-77.031614,200,0,0
276992,38.907205,-77.070321,100,0,0
28523,38.884105,-76.991269,200,0,0
27052,38.865741,-76.944197,200,0,0
242370,38.902897,-77.049618,200,0,0
302942,38.884372,-77.013675,200,0,0
75264,38.900021,-76.991554,200,0,0
229370,38.929563,-77.018041,200,0,0
903992,38.902522,-77.024016,100,0,0
294604,38.954513,-77.069527,200,0,0
